result shown in seconds
totalTime: 18.9182205
joinFiles: 1.1538663
parsingDonationsFile: 12.4776825
parsingDonorsFile: 5.2866705
--------- results ---------
,1.7681222739999976E7
Linville Falls,85.0
Disputanta,4865.51
Axson,125.0
Belcourt,155.71
Comstock,260.0
Keystone Heights,1920.9500000000003
Crookston,2738.88
Arlington,967686.8599999986
Bement,836.99
McCool Junction,20.0
Pomfret,2302.42
Village,50.0
Bonnie,250.0
Comer,2568.8
Delavan,8704.89
Rush City,470.0
Rocky Ridge,2573.5499999999997
Silver Spring,260898.58999999997
Tempe,218960.03000000003
Ridge,5896.889999999999
Fairlee,175.0
Smithdale,270.0
Port Arthur,7780.84
North Plains,12153.289999999999
North Jackson,40.0
Otway,185.0
Beecher,6644.900000000001
Tecumseh,25506.48
Mapleton,11384.330000000002
Ruleville,2744.73
Rock Port,175.0
North Bend,21371.06
Caribou,4059.6400000000003
Sagle,798.87
Aguirre,50.0
Oakford,108.62
South Wilmington,60.0
Detroit Lakes,3576.37
Sioux Falls,138897.91999999998
Shaver Lake,542.85
Potosi,2308.88
Charlevoix,5325.740000000001
Nimitz,245.0
Brooklet,7896.72
Sayreville,9058.11
Walkersville,5674.05
Troutville,3857.62
Intercession City,25.0
Louisburg,21145.22
Hartsfield,95.0
East Bank,105.0
Blacksburg,70985.61000000002
Soda Springs,1245.96
Briscoe,50.0
Marianna,9816.88
East Peoria,24534.18
Larsen,258.0
Ogallala,647.49
Searcy,26909.09
Osage City,1749.02
Randalia,50.0
Pueblo Of Acoma,10.0
Glenham,747.63
Knox,3477.97
Karlstad,747.87
Tippecanoe,265.76
Combs,25.0
Sturgeon Lake,473.13
Honaker,377.21
Crumpton,230.0
Sutherland Springs,10.0
Tenants Harbor,1452.57
Libuse,50.0
Cumberland City,663.36
Jerusalem,854.96
Plains,1038.95
Marylhurst,385.0
Felicity,295.0
Lakewood,188843.09
Bonner,229.0
El Prado,3163.54
Church Hill,3138.22
Stevenson,2157.59
Kentland,659.0
Farwell,3045.13
Mallie,437.93
Ilwaco,170.0
Westfir,50.0
Clemmons,32418.559999999998
Martinsburg,5111.36
Eidson,150.0
Darlington,22704.790000000005
Angwin,589.0
Fort Ripley,100.0
Omaha,301023.16000000027
Gansevoort,6504.24
Hooper,3340.36
East Freedom,225.0
Brooklin,70.0
Rye,46297.51000000001
Candler,43732.94
Bloomfield,86244.22000000002
Norwich,19575.030000000002
Wilbur,609.0
Giddings,3273.28
Mercedita,50.0
Miami,1182330.9799999986
Carlinville,8645.88
Renner,798.35
Bingham,324.99
East Elmhurst,19299.870000000003
Alpha,565.0
Salyersville,1559.45
Okeechobee,11409.36
Hendley,50.0
Cass Lake,1245.0
Chataignier,184.0
Saint Olaf,25.0
Bledsoe,210.0
Fort Ashby,215.0
Oilville,175.0
Willsboro,190.0
El Portal,99.0
Fillmore,5616.77
Amityville,73554.72000000002
Port Crane,354.78
Sasakwa,252.0
Coleraine,255.0
Earlimart,160.0
Bagley,345.0
Hominy,1303.88
Red Oak,19436.09
Marionville,747.0
Claire City,10.0
Vernon Center,199.0
Mission Viejo,107937.07000000002
Glen Daniel,100.0
Cochrane,1162.26
West Monroe,15522.710000000003
Avery Island,25.0
Rancho Cordova,75257.68000000002
Manassa,80.0
Apalachin,5368.52
Nesconset,8271.690000000002
Frazier Park,3836.41
Hawleyville,75.0
Au Gres,1322.42
Catlettsburg,1514.0
Gueydan,1181.25
West Alton,75.0
New Paltz,12085.07
Mount Ida,2317.56
La Crescent,3258.81
Villard,99.0
Horsham,16880.050000000003
Jim Falls,35.0
Colton,17969.600000000002
Ohiowa,25.0
Thor,362.7
Schenevus,192.05
Cedartown,2015.5100000000002
Keystone,1612.34
Mount Tabor,865.0
Amsterdam,11373.900000000001
Rock City,10.0
Limerick,1235.85
Otsego,4420.4
Spartansburg,330.0
Grahamsville,658.1500000000001
Branchville,7163.640000000001
Brohard,50.0
Kearsarge,20.0
Kinde,190.0
Waveland,2179.3
Sentinel,115.0
Highmore,874.39
Freer,100.0
Greeley,83253.62999999999
Lone Pine,222.0
Adamsburg,130.0
Brownstown,2015.44
Millbury,9065.21
Greentop,1139.53
Atwater,105818.97999999997
Sandyville,611.44
Satellite Beach,34976.770000000004
Floral Park,26439.12
Norridgewock,1796.87
Bay Village,21527.47
Solomon,184.0
Little River,6783.419999999999
Rowlett,45606.12
Millburn,6095.06
Clinton Corners,300.0
Calamus,264.18
Duncombe,69.32
Wayland,16206.469999999998
Ness City,2349.31
Parsippany,19331.969999999998
Lansing,104260.51000000002
Laporte,3123.47
Woonsocket,19479.61
Normalville,25.0
New Providence,17841.870000000003
Stirum,0.0
Lorain,8659.9
Abercrombie,2075.0
Port Clinton,2771.8099999999995
Lenora,381.02
Limington,911.24
Lenore,35.0
Kilauea,10547.69
Berkeley Springs,6390.650000000001
New Martinsville,2350.0599999999995
Trappe,927.0
Gorman,100.0
Cleveland,464609.1400000001
Six Mile,3828.15
Rowan,60.0
East Arlington,23.0
Walters,5282.38
Alliance,11565.28
Friendsville,3346.09
Horatio,1329.87
Oglethorpe,265.0
Mesick,1113.94
Counce,309.19
Dendron,85.0
Perryopolis,625.0
Delbarton,611.85
Washburn,4449.4
Huntertown,2374.37
Estherwood,265.40999999999997
Wheeling,61644.53000000001
Charles City,3785.8900000000003
Scammon,120.0
Danville,363128.0999999999
Wellborn,405.19
Fall Branch,9613.33
Turpin,100.0
Metamora,9532.77
Pedro,235.0
Bergheim,988.44
Maysel,20.0
Tiptonville,90.0
Brodhead,1990.63
Waltonville,689.36
Kualapuu,837.09
Glover,1320.07
Syracuse,107785.76000000005
McKenzie,3411.76
Grand Coteau,315.0
French Creek,20.0
Parsonsfield,1010.0
Christoval,25.0
Princeton,128497.70000000003
Bowling Green,120161.01000000001
West Barnstable,4949.88
South Rockwood,1553.5
Neoga,440.0
Shelter Island Heights,1427.9499999999998
Arab,3707.39
Buda,33767.78999999999
East Ellijay,30.0
Boalsburg,3929.3700000000003
Hoopa,50.0
Sheldon,8225.759999999998
Dalhart,5950.200000000001
Bismarck,32196.949999999997
Hood River,10609.38
Seth,25.0
Port Orford,1314.58
Revere,50881.21000000001
Guffey,225.0
Mountainhome,402.33
Eunice,3812.1800000000003
Tontogany,250.0
Earleton,510.0
Mahaffey,200.0
Fisher,1837.04
Clear Lake,5738.39
Wray,640.0
Enville,46.0
Fabens,0.0
Wheeler,2205.76
Allons,839.7
Buena,842.56
Munster,58051.94000000001
Hazard,4171.1900000000005
Mineral,2640.36
Arco,4201.549999999999
Fredonia,29270.150000000005
Koppel,50.0
Rumney,1325.0
June Lake,366.53
Heth,150.0
Wye Mills,50.0
Vanleer,50.0
Wilder,1675.05
Port Elizabeth,94.5
Valier,165.0
Kindred,500.0
Herculaneum,1325.21
Tres Piedras,282.8
Young Harris,2210.88
Morley,320.0
Pleasant Shade,10.0
Fults,395.0
Sugar Land,88991.85000000002
Carver,7002.5199999999995
North Marshfield,300.0
Union Bridge,1607.08
Neola,982.29
North Turner,60.0
Kennett,4854.63
Buhl,2072.75
Novato,112420.45999999995
Laverne,452.4
Carmichaels,1546.99
Lenoir,29859.329999999998
Columbia,700639.04
University,140.0
Pine River,823.18
Eleele,820.0
Melvin,163.43
East Schodack,67.38
Cazadero,388.63
Emerado,1886.9299999999998
Martensdale,405.0
Valparaiso,104975.17999999998
Lynchburg,58150.27000000001
Galva,1375.0
Peterson,225.0
Stewart,501.82
Adairville,84.22
Mt Baldy,590.0
Coosada,145.0
Muir,100.0
East Vandergrift,60.0
Athol,5025.779999999999
Blissfield,620.0
Purdy,320.0
Los Ojos,75.0
Steward,260.34000000000003
Jasonville,93.0
Voca,25.0
Rocky Mount,38282.88
Wingdale,2592.0
Richfield,8504.49
Fort Peck,50.0
Cool Ridge,161.56
Woodstock Valley,210.0
Brockton,57332.69
Goodyear,42720.03999999998
Eckley,50.0
Laona,1763.32
Peterstown,528.52
Hurricane Mills,0.0
Amoret,50.0
Orono,9738.820000000002
Jadwin,55.0
Vilas,3989.06
London Mills,100.0
Sudbury,41540.47999999999
Barnstable,1986.9
Burtrum,236.57999999999998
Winooski,2523.4
Inglewood,40564.270000000004
Polk City,4774.400000000001
Crowley,23820.910000000003
Pioche,450.0
Paducah,25827.129999999994
Okolona,2268.38
Iron Ridge,200.0
Prospect Park,9337.03
Grubville,277.75
Olmstead,224.0
Galivants Ferry,2750.1900000000005
Kimballton,175.0
South Williamson,173.47
Forest Junction,510.0
Glen Aubrey,341.0
Schellsburg,40.0
Brookville,12736.56
Morse,400.0
Tarentum,4259.28
Glen Ullin,310.16
Newman Grove,55.0
Engadine,475.0
Columbus,925826.57
Saint Henry,265.0
Bulpitt,236.34
Cologne,2583.0
Mayesville,364.0
Delaplane,700.0
Redwood,957.99
Hormigueros,74.0
Earlville,3420.33
Drakes Branch,75.0
Eupora,514.52
Carversville,326.16999999999996
Big Stone City,205.0
Qulin,200.0
Palm Desert,31468.54
Clearbrook,256.44
Post Falls,12809.730000000001
Sod,127.0
Bunn,798.0
Phelps,1523.82
Sultan,6146.25
Milburn,218.0
Pacific,6067.91
Buna,1336.0
Altavista,1470.46
Reed Point,300.0
Loyal,881.86
Tolland,9560.130000000001
Smithville,37994.10999999999
Crescent City,16529.57
Ulen,173.27
Thorndale,965.8
Cavendish,50.0
Toa Baja,160.0
Plumsteadville,99.0
Elbridge,237.48
Mount Joy,5403.75
New Hope,42761.21
Wallburg,355.0
Sparta,31695.859999999993
Torrey,90.0
Birdsboro,4080.1
Los Molinos,999.0
Clarendon,2053.67
Castle Creek,404.0
Price,890.91
Dixons Mills,88.0
Ehrenberg,285.45
Uhrichsville,2463.79
Arma,2688.5
Switz City,50.0
San Dimas,23228.79
Middle Granville,736.0
New Troy,20.0
Canadian,1218.14
Maine,25.0
Inver Grove Heights,20926.620000000003
Cattaraugus,150.0
Russellville,24981.059999999998
Cantrall,613.0
Eckerty,25.0
Pacific Grove,27191.170000000006
Clear,70.82
Pride,548.0
Pleasant View,5186.89
Dime Box,70.0
McAlisterville,125.0
Manasquan,13276.89
Ambler,50867.73
Edmonds,62454.02
Edinburgh,2321.89
East China,2909.8900000000003
Beeville,1059.74
Cornettsville,110.0
Kapaau,4876.8
Montevideo,706.0
Sorento,160.0
West End,11436.320000000002
Silver Creek,3069.9700000000003
Brighton,114935.90999999999
Millerton,2052.5
East Rutherford,3898.66
Burt,1718.1799999999998
Mount Aukum,220.0
Strawberry Valley,20.0
Hoople,75.03
Berlin Center,2243.44
Reading,106564.74000000002
Fort Washakie,175.0
Norway,11593.95
Old Hickory,11453.610000000002
Middle Point,163.0
Carnation,8669.830000000002
Crawford,2730.31
New Home,191.88
Havertown,68444.73000000001
Jamaica Plain,184760.20000000004
Pikeville,20326.04
Cornwall On Hudson,1583.3
Jenners,67.2
Anniston,21520.329999999998
Ralph,861.4
Busy,30.0
Lithia,86670.49
Rapid River,8814.169999999998
Lumberton,33398.81
North Conway,3927.18
Wendell Depot,80.0
Waddell,4110.030000000001
South Windham,228.0
Moyie Springs,50.0
Holtwood,160.0
Ellinwood,368.15999999999997
Fort Supply,75.0
Bush,884.0
Inchelium,0.0
Adams Run,305.0
Oldenburg,95.0
Paeonian Springs,2097.33
Blackshear,6210.08
Ringoes,14977.310000000001
Thorne Bay,500.0
Sun,249.12
Poestenkill,770.0
Heilwood,10.0
Columbus City,207.0
Avilla,1470.8600000000001
Aliquippa,21059.39
Green Ridge,242.0
Muse,40.0
Miranda,1775.8
Hurdland,100.0
Warden,905.26
Southport,18568.03
Rebersburg,10.0
Eastland,1926.3899999999999
Bone Gap,25.0
Axton,1156.7
Miccosukee Cpo,23169.940000000002
Kanawha,39.2
Maiden,3199.42
Bay City,49859.689999999995
Baker,13374.73
Plattsmouth,4213.03
Tuppers Plains,149.0
Rosemead,15858.64
Glouster,310.0
Uncasville,4911.76
Yellowstone National Park,100.0
Saratoga,111559.24999999999
Grainfield,50.0
Leasburg,2422.05
Cadillac,12359.250000000002
Fe Warren AFB,50.0
Wallaceton,100.0
Falfurrias,581.14
Lloyd,100.0
Sharon Center,10.0
Hughes Springs,1867.77
Dowagiac,4202.15
Forbes,187.76
Shannon City,70.0
Panola,10.0
Millheim,215.0
Black Rock,76.5
Malverne,23916.22
Green Village,50.0
Crandon,145.0
Hansford,25.0
College Place,2209.5699999999997
Brigantine,2375.32
Niantic,8781.25
Brumley,50.0
Golconda,197.67000000000002
Gallup,24021.13000000001
Hodgenville,1286.99
Lapaz,85.0
Portola Valley,43771.54999999999
Pantego,1035.0
Bay Port,60.0
Sparks,52296.209999999985
Orosi,1759.1100000000001
Shaftsbury,896.54
Beatrice,1596.8
Walton,7191.13
Hildale,110.0
Alligator,50.0
Lanett,5693.29
Mirror Lake,125.0
Horseheads,15109.19
Paulden,1018.4200000000001
Alameda,278226.60000000003
Secretary,17.21
Hallett,200.0
Flatwoods,3216.7200000000003
Port Bolivar,2003.12
Kennedy,409.34000000000003
Lanexa,891.46
Hallieford,150.0
Flagler Beach,11207.61
Bolivar,16553.52
Ringwood,9926.539999999999
McKeesport,11942.470000000001
Tracyton,195.0
Mount Horeb,15258.490000000002
Tenaha,20.0
Fishtail,50.0
Turners Falls,960359.0000000007
Eastlake,14903.71
Big Rock,2347.69
Kasigluk,749.0
Cobb Island,161.46
Chappell,50.0
Stanleytown,75.0
Armour,1304.11
Ralls,119.0
Manson,2201.05
Parkton,15255.19
Levels,200.0
Mantador,0.0
West Tisbury,2791.67
Hempstead,16749.47
Decorah,7621.370000000001
Buellton,6522.34
Florence,253036.3900000001
Papaikou,2852.7700000000004
Staten Island,457863.4100000001
Hilliard,49466.140000000014
Sylva,6956.200000000001
Underwood,1930.15
Smith,415.0
Trujillo Alto,381.5
Ropesville,972.86
Tina,416.0
Belgium,2269.51
New Sharon,522.9399999999999
Beavercreek,954.0
Angleton,27276.67
Lapel,1421.98
Hagan,20.0
Phelan,10864.429999999998
Blachly,25.0
Agate,294.0
Hakalau,718.88
Maize,13584.640000000001
Remlap,2401.0
Panora,1710.9199999999998
Buffalo Gap,524.0
West Bend,40752.6
Ballston Lake,12620.97
Dunnsville,467.62
Osseo,84494.40000000002
Baldwyn,1209.47
Purdys,359.0
Sicily Island,525.0
Highspire,1100.2
Breezewood,50.0
Van Wyck,62.31
Kopperl,107.11
Benicia,90640.62000000001
Purmela,150.0
Bessemer City,1832.3999999999999
Cornelius,45142.15
Mosca,50.0
Lewisville,99719.64
Leominster,58633.51
Twin City,309.0
Walnut Cove,3845.14
Grinnell,3382.0400000000004
Cusseta,825.02
Flourtown,23862.479999999996
Montverde,3230.7999999999997
Capon Springs,50.0
Montgomeryville,91.31
McClave,25.0
Grand River,440.42
Jarrettsville,5261.1
Barker,9204.29
Walled Lake,12712.410000000002
Oceanville,125.0
Frederic,443.35
Lennox,2335.0899999999997
North Beach,851.33
Tiro,55.0
Estell Manor,875.0
Sugarcreek,568.95
Honeydew,20.0
Oregon,20503.89
Northbrook,64644.38000000001
Armona,384.0
Pecos,5511.91
Herscher,153.5
Fly Creek,325.0
Mount Clemens,3269.06
Shellsburg,859.9200000000001
Au Train,130.0
Lennon,709.5
Flagler,25.0
Bolivia,7007.01
Brantwood,60.06
Points,100.0
Halstead,1206.61
Port Austin,188.98
Central Village,30.0
Leavenworth,15413.510000000002
Armonk,11231.57
Crownsville,7809.589999999999
Jonesborough,17158.06
Oakland City,407.66999999999996
Saint Johnsbury,2671.2599999999998
Fiskdale,6911.0199999999995
Raywick,35.0
Seaboard,384.31
Shelly,854.86
New Concord,787.79
Rose Bud,251.0
Tea,1822.17
Mill Run,335.0
Vassalboro,706.8299999999999
Bertha,288.84
Prince George,4573.3099999999995
Lake Placid,5545.93
Floydada,200.0
Bottineau,649.78
Pawleys Island,72056.62000000002
Molalla,4064.9999999999995
South Pittsburg,5229.48
Moffat,1335.6599999999999
Trabuco Canyon,41393.11
Fennville,1758.0
Auburn Hills,21824.18
Tougaloo,100.0
Soap Lake,340.0
Knightdale,10996.87
Sisseton,291.47
Swanquarter,50.0
North Sandwich,110.0
Waconia,4559.57
Upper Falls,85.0
Maybrook,1151.08
Minotola,147.0
East Liberty,159.87
Purdon,786.54
Faulkton,760.0
Seattle,2452399.910000002
Marblemount,592.0
Akiachak,1030.93
Fruitland,4210.01
Roseland,6924.15
Rockville Centre,58931.709999999985
Machipongo,69.08
New Albin,50.0
Sharps Chapel,2932.1600000000003
Gulf Shores,6507.469999999999
Victorville,12626.709999999997
State Road,1661.3700000000001
Malin,270.0
Canoga Park,64859.88
White Bird,1100.0
Dry Run,300.0
Willernie,156.99
Ransomville,848.02
East Berlin,15058.619999999999
City Of Industry,953.96
Hunker,926.2
Ossian,1110.24
Reeves,35.0
Alvord,418.0
Benwood,955.0
Egg Harbor Township,11040.89
Indianola,18026.440000000002
Plainwell,9303.189999999999
Winger,25.0
Alburnett,587.5
Port Lavaca,2974.85
Hanna City,2632.42
Michigan,25.0
Stoutsville,150.0
West Dennis,1453.43
Clam Lake,2932.9900000000002
Delta,6016.04
Register,490.25
Glen Richey,0.0
North Fairfield,40.0
Dunkirk,8258.119999999999
Normandy,300.0
Mathews,5902.2699999999995
Aguila,25.0
South Holland,9405.34
Warrensburg,11036.88
Larue,794.86
Harlem,3115.89
Pelahatchie,2524.2200000000003
Brazil,2890.66
Berwyn,66232.51000000002
Horse Creek,150.0
Glenelg,2601.62
Owaneco,105.0
Lee Vining,417.0
Barnum,1442.26
Roxie,176.62
Riceville,886.04
Inverness,11431.420000000002
Sweet Water,50.0
Fall City,2223.8
Goodells,1612.27
Center Hill,352.5
Merrimac,4016.5299999999997
Kirtland,450.21
Boggstown,165.0
Silvana,225.0
Brookside,2009.01
Eglon,195.0
Rhinelander,3475.39
Millsap,893.55
Sloansville,10.0
Kechi,1303.0
Saint George,117450.87
Wrightsville,1756.3000000000002
Saint Joseph,64008.52
Easley,67619.26000000001
Spragueville,20.0
Austinville,95.0
Hauula,7743.57
Rolette,19.21
Beech Bluff,315.0
Corryton,3702.69
Goodman,400.0
West Newfield,590.0
Tabor,425.0
Nogales,2739.49
Moriah,120.0
San Luis Rey,60.24
Cambria Heights,7375.910000000001
Greenback,1240.62
Canistota,929.52
Harlan,2007.4
Strongstown,60.0
Salkum,163.65
Moss Landing,929.0
Fort Atkinson,19906.739999999998
Amherst Junction,868.79
Palm Harbor,45440.799999999996
Mill Spring,445.64
Laguna,110.0
Old Town,3279.7899999999995
New Gloucester,2094.25
Urbandale,27128.42999999999
Bealeton,4296.25
Bulger,735.0
Platte Center,50.0
Buckeystown,170.0
Hawesville,2094.91
Forrest,2166.81
Orrum,60.0
Sanibel,21228.01
Bar Harbor,5236.4400000000005
Bridge City,4122.0
Tok,11111.140000000001
Greenbank,2485.46
Longton,275.78
Ulster,100.0
Natalia,1422.1
Parrish,52596.58000000001
Marriottsville,2148.91
Gideon,200.0
Tow,1310.78
Hedley,241.86
Portland,1909976.969999999
Laurel Hill,1220.0
Roebuck,14268.699999999999
Sparrows Point,2052.5699999999997
Corbin,3710.55
New Freedom,4213.87
Woodsboro,959.89
Glen Jean,10.0
New Lenox,17231.079999999998
Nashua,226854.9900000001
Estancia,310.0
Nellysford,697.26
Purdin,100.0
Shell Rock,332.92
Merced,43612.01000000001
Mossville,2857.05
Seffner,18438.1
Stetsonville,50.0
Baldwin,29050.860000000004
Ogunquit,615.0
Kiowa,710.0
Potterville,627.86
Hurlock,850.0
Shokan,1462.62
West Roxbury,72810.23999999999
Enterprise,91484.46999999996
Mercer,5668.66
Thermopolis,1652.8
Graham,27397.209999999995
Maryland Heights,12251.750000000002
Copper Harbor,275.0
Dillingham,1998.5700000000002
Richlands,10265.449999999999
Dragoon,179.0
Matheny,25.0
Carlotta,150.0
Beaverdale,20.0
Alburg,243.64
Star City,9451.56
Sandy Spring,1301.82
Seaton,125.0
Stockdale,495.0
Dunmore,725.0
Waukee,18337.7
Eggleston,125.0
Bethel Island,5022.49
Pettisville,721.03
Greenville,566247.0500000004
Experiment,1037.5
Saylorsburg,1341.92
Le Claire,958.0
Pearce,295.0
Palmetto,18337.909999999996
Orangefield,16779.12
Elkton,14733.12
Applegate,947.86
Delia,132.82
Gretna,35946.36
Guinda,100.0
Pearcy,918.1800000000001
Port Sulphur,60.0
Union Pier,275.0
Delhi,3617.7
Newberry Springs,220.0
Pismo Beach,7021.11
Joshua Tree,2495.83
Malta,5879.27
Tonica,1332.46
Flinton,40.0
Hamilton,100866.96000000005
Amalia,35.0
Raccoon,25.0
Morris Plains,90844.79000000001
Shipshewana,1371.8899999999999
Barnesville,10221.6
Cooks,60.0
Tolar,2597.94
Frostburg,7902.65
Bally,352.0
Tangerine,0.0
Cloudcroft,825.0
Hazlehurst,4342.56
Orrstown,2153.28
Camino,5210.799999999999
Brusly,867.35
Crisfield,742.04
Wagontown,50.0
Bourg,4878.18
Yosemite National Park,1243.86
Aurora,257910.02000000002
Cadott,899.0
Pleasantville,41892.54000000001
Hiller,25.0
Fall River Mills,317.11
Snyder,5901.83
Rifle,3467.3599999999997
Blevins,25.0
Byron,28901.870000000003
Elmendorf,723.0
Boulder Creek,53835.580000000016
Nenana,476.42999999999995
Smith Center,170.0
Hartland,25229.370000000003
Monteagle,978.39
Shapleigh,3156.22
Swink,60.0
South Boardman,200.0
Chappaqua,36081.96
Cathlamet,1281.75
Bayard,755.0
Brevard,11087.550000000001
Fulshear,26005.930000000004
Plumerville,200.0
Bradley Beach,1246.51
Holualoa,6931.48
Deweyville,65.0
Barnhart,3617.68
North Adams,5558.71
Keokee,10.0
Gallion,709.91
Germantown,205263.9200000001
Montandon,100.0
Royal,3064.4099999999994
Wernersville,1739.3899999999999
Old Lyme,11425.999999999998
San Pierre,50.0
Cramerton,6781.469999999999
Karnack,440.0
Cogan Station,335.0
Ronkonkoma,28630.410000000003
Garden City,61891.020000000004
Dickerson Run,55.0
Turnerville,1224.55
Sweet Grass,25.0
Olivia,200.0
Hot Springs National Park,33729.67999999999
Baptistown,80.0
Estero,43450.40999999998
Merrittstown,50.0
Gales Creek,1008.5899999999999
Delco,120.0
Dixon,25303.36
Hughesville,3802.29
Scott,11066.94
Sandersville,5000.2699999999995
Munsonville,225.0
Twin Valley,240.0
Newton Lower Falls,1091.43
Warne,215.57
Scenery Hill,855.87
Waltham,162878.14
Wallins Creek,0.0
Thorofare,8076.5199999999995
New Plymouth,185.0
Chandlersville,40.0
Nordland,165.0
Salinas,179291.10000000003
West Salem,3820.1099999999997
Viola,2449.54
Gunpowder,65.0
Chisholm,95.0
Blythewood,15168.619999999999
Campbell Hall,1362.1
Dyersburg,6302.070000000001
Natural Dam,0.0
Bunceton,565.0
Sergeantsville,50.0
Pylesville,469.52
Willard,5946.210000000001
Dennison,2067.44
Erwinna,555.0
Highland Falls,2955.4
Glenpool,12502.189999999999
New Braunfels,53180.150000000016
Crab Orchard,554.0
Truro,476.0
Minooka,9102.16
Mililani,46905.219999999994
Blauvelt,4550.950000000001
Cass City,1599.56
Micro,130.79
Roanoke,142773.87000000008
Camas Valley,209.64
South Colby,865.0
La Rose,0.0
Pipe Creek,1454.62
Tollhouse,1377.2
Mulhall,175.0
East Millsboro,75.0
Timberlake,4971.2
Pine Plains,719.87
Choudrant,304.45
Piedra,93.56
Kissee Mills,210.0
Cranbury,10393.39
Barney,100.0
Laingsburg,12184.11
East Canaan,147.64
Lake Milton,130.0
White Castle,555.4300000000001
Barnet,106.74
Toivola,275.0
Olivet,859.0
Arapahoe,640.0
Valley Bend,0.0
Sunfield,315.0
La Pine,1522.9599999999998
Lidgerwood,125.0
Snook,410.0
High Springs,6886.129999999998
Brown City,2924.2799999999997
Elkader,681.39
Kendallville,3366.01
Ceres,13107.25
Saint Paris,714.0
Rosston,50.0
Glen Burnie,44311.38000000001
La Fontaine,782.24
Little Compton,7693.610000000001
Rancho Cucamonga,88455.47
Pearson,591.44
Robbinsville,9586.329999999998
Manilla,45.0
Westmoreland,3772.8299999999995
Gautier,34798.51
Cottage Hills,75.0
Moffit,25.0
Dixie,25.0
Floodwood,25.0
Rockmart,1245.99
Jonesport,60.0
Fort Ransom,25.0
Nettie,75.0
South Sioux City,448.75
Walhalla,7167.570000000001
Rutledge,1912.48
Alleman,858.89
New England,730.0
Pisek,50.0
Tremont,2845.5899999999997
Dill City,45.0
Capron,2262.15
Schoharie,1600.53
Lopez Island,1824.0
West Farmington,474.86
Dyess,100.0
Sunnyvale,380730.1100000001
Wylliesburg,219.0
Hermiston,7955.6900000000005
Garrisonville,520.0
Saint Lucas,50.0
Sand Point,143.0
Avoca,2068.41
Cedar Hill,34126.58
Donaldson,1571.76
Mineville,75.0
Robert Lee,625.0
Oak Hill,2219.44
Dickson,20951.5
Willoughby,24808.329999999994
Bristolville,573.74
Lake Zurich,42529.990000000005
Tacna,110.0
Ponderosa,50.0
Lead Hill,201.0
Walnut Bottom,25.0
Fair Lawn,37840.64000000001
Middleville,5436.03
Weippe,25.0
Califon,6005.35
Huddy,90.0
Ranger,458.23
Primm Springs,599.0
Tallula,298.78
Fallbrook,32020.02
Milligan,50.0
Kirkersville,442.84
Canyon Lake,4998.1900000000005
Green Valley Lake,0.0
Mindoro,360.0
Little Sioux,11.0
North Bonneville,265.0
Dollar Bay,1020.5
Cinebar,51.81
Nonantum,200.0
Bendersville,400.0
Waldport,5962.21
Spearman,493.65999999999997
Locke Mills,525.0
Coal City,3594.0999999999995
Keizer,80.0
Becker,2502.75
Hampton Bays,6765.799999999999
Stroudsburg,27920.089999999997
Becket,833.21
Fredericktown,5986.43
Burdette,50.0
Stilesville,299.2
Lamesa,935.0
Rancho Santa Fe,13305.01
Lempster,285.7
Powhatan Point,1030.0
Whitehouse Station,6619.05
Rio Dell,852.9200000000001
Grady,268.90999999999997
Aylett,1156.44
Cadogan,111.4
Byesville,3445.9
Comanche,7305.83
Atco,4026.7200000000003
Minerva,1476.1000000000001
Kirklin,270.0
Leonardtown,6562.91
Tualatin,24857.679999999993
Gainestown,75.0
Aspermont,75.0
Graff,25.0
East Chatham,458.32000000000005
Goessel,45.0
East Walpole,8402.830000000002
Nicoma Park,50.0
Grand Cane,300.0
Unalaska,2835.08
Kingdom City,70.0
Yermo,155.0
Cheneyville,305.0
Sugar City,500.4
New Richmond,6219.9800000000005
Morehead,8795.05
Watford City,2068.05
Albright,2809.8599999999997
Cut Off,3118.7
Verplanck,542.0
Sequatchie,870.6700000000001
Fort Gibson,785.0
Winslow,3465.3500000000004
Leakey,2447.4700000000003
Natural Bridge,140.0
Atlasburg,216.0
Minatare,100.0
Harman,20.0
Wykagyl,41986.630000000005
Montmorenci,6309.41
Stedman,2768.4500000000003
North Pole,7804.87
Nashotah,1549.04
Transfer,820.0
Brant Lake,386.68
Seaside Heights,1353.2700000000002
Atascadero,23829.28
Little Ferry,3885.7299999999996
Blacksville,50.0
Cape Girardeau,17791.12
Tuckasegee,333.0
Mifflinville,350.0
Reedsville,13658.489999999998
Jennings,2614.77
Checotah,2105.8900000000003
Philpot,434.24
Derby Line,205.0
Sioux City,36081.290000000015
Dallas Center,2598.76
Stoneboro,754.9300000000001
Divernon,1227.64
Armington,89.74000000000001
Tuluksak,55.0
Carbon Cliff,25.0
Wingina,100.0
San Marino,9702.23
Veradale,6869.099999999999
Henderson,459612.22000000015
Lawndale,25885.299999999996
McAlpin,859.3
Ashford,26406.359999999997
Granite City,9899.14
Silverwood,100.0
East Syracuse,6464.75
Glenville,1997.78
Sharptown,75.0
Ulm,135.0
Kidron,20.0
Tustin,82174.56999999998
Imboden,181.0
Chandler,208808.28999999995
Ijamsville,6753.900000000001
South Whitley,2088.79
Wallowa,116.19
Vernon Hills,18929.7
Lemon Grove,8037.1799999999985
Fate,542.5
Elon College,18149.2
